# time(s) 5cm
0.000000000000000000e+00 2.102374513104700782e+01
6.000000000000000000e+01 2.102374513104700782e+01
1.200000000000000000e+02 2.107283649360235245e+01
1.800000000000000000e+02 2.107283649360235245e+01
2.400000000000000000e+02 2.107283649360235245e+01
3.000000000000000000e+02 2.107283649360235245e+01
3.600000000000000000e+02 2.102374513104700782e+01
4.200000000000000000e+02 2.107283649360235245e+01
4.800000000000000000e+02 2.107283649360235245e+01
5.400000000000000000e+02 2.107283649360235245e+01
6.000000000000000000e+02 2.107283649360235245e+01
6.600000000000000000e+02 2.107283649360235245e+01
7.200000000000000000e+02 2.107283649360235245e+01
7.800000000000000000e+02 2.112192530960939507e+01
8.400000000000000000e+02 2.112192530960939507e+01
9.000000000000000000e+02 2.112192530960939507e+01
9.600000000000000000e+02 2.112192530960939507e+01
1.020000000000000000e+03 2.112192530960939507e+01
1.080000000000000000e+03 2.112192530960939507e+01
1.140000000000000000e+03 2.117101169434138797e+01
1.200000000000000000e+03 2.117101169434138797e+01
1.260000000000000000e+03 2.117101169434138797e+01
1.320000000000000000e+03 2.112192530960939507e+01
1.380000000000000000e+03 2.112192530960939507e+01
1.440000000000000000e+03 2.112192530960939507e+01
1.500000000000000000e+03 2.112192530960939507e+01
1.560000000000000000e+03 2.112192530960939507e+01
1.620000000000000000e+03 2.112192530960939507e+01
1.680000000000000000e+03 2.112192530960939507e+01
1.740000000000000000e+03 2.112192530960939507e+01
1.800000000000000000e+03 2.107283649360235245e+01
1.860000000000000000e+03 2.107283649360235245e+01
1.920000000000000000e+03 2.107283649360235245e+01
1.980000000000000000e+03 2.102374513104700782e+01
2.040000000000000000e+03 2.097465110663407017e+01
2.100000000000000000e+03 2.092555430501684555e+01
2.160000000000000000e+03 2.087645461080959208e+01
2.220000000000000000e+03 2.082735190858568330e+01
2.280000000000000000e+03 2.077824608287630781e+01
2.340000000000000000e+03 2.072913701816855792e+01
2.400000000000000000e+03 2.068002459890385580e+01
2.460000000000000000e+03 2.063090870947644362e+01
2.520000000000000000e+03 2.058178923423156803e+01
2.580000000000000000e+03 2.053266605746392415e+01
2.640000000000000000e+03 2.048353906341606034e+01
2.700000000000000000e+03 2.048353906341606034e+01
2.760000000000000000e+03 2.043440813627665875e+01
2.820000000000000000e+03 2.038527316017885127e+01
2.880000000000000000e+03 2.033613401919870967e+01
2.940000000000000000e+03 2.033613401919870967e+01
3.000000000000000000e+03 2.033613401919870967e+01
3.060000000000000000e+03 2.033613401919870967e+01
3.120000000000000000e+03 2.033613401919870967e+01
3.180000000000000000e+03 2.033613401919870967e+01
3.240000000000000000e+03 2.028699059735351184e+01
3.300000000000000000e+03 2.028699059735351184e+01
3.360000000000000000e+03 2.028699059735351184e+01
3.420000000000000000e+03 2.028699059735351184e+01
3.480000000000000000e+03 2.023784277860005076e+01
3.540000000000000000e+03 2.023784277860005076e+01
3.600000000000000000e+03 2.018869044683301794e+01
3.660000000000000000e+03 2.018869044683301794e+01
3.720000000000000000e+03 2.018869044683301794e+01
3.780000000000000000e+03 2.018869044683301794e+01
3.840000000000000000e+03 2.018869044683301794e+01
3.900000000000000000e+03 2.018869044683301794e+01
3.960000000000000000e+03 2.018869044683301794e+01
4.020000000000000000e+03 2.013953348588335857e+01
4.080000000000000000e+03 2.013953348588335857e+01
4.140000000000000000e+03 2.013953348588335857e+01
4.200000000000000000e+03 2.013953348588335857e+01
4.260000000000000000e+03 2.013953348588335857e+01
4.320000000000000000e+03 2.013953348588335857e+01
4.380000000000000000e+03 2.013953348588335857e+01
